Beneficiary_person_id,name,job,income,costs,birth date,relationship
666884444,ahmed,Worker at textile factory,750,75,14/9/1989,son
666884444,mohamed,primary student,,100,5/6/2007,son
666884444,khaled,secandary student,,2000,7/7/2003,son
666884444,mostafa,secandary student,,2000,8/9/2002,son
666884444,mona,Housewife,,,6/8/1975,wife
453453453,omar,saby naash,250,50,7/9/1999,son
453453453,sara,primary student,,100,4/3/2003,daughter
453453453,fatma,Home Cleaner,200,30,14/10/1976,wife
987987987,yassmine,tailor,500,300,7/3/1965,wife
987987987,fathe,College student,,400,14/4/1996,son
789565423,aid,,,,6/7/1990,son
235654446,hassen,,,,12/4/1989,son
